,sno,state_name,active,positive,cured,death,new_active,new_positive,new_cured,new_death,state_code
0,2,Andaman and Nicobar Islands,23,4960,4875,62,17,4963,4884,62,35
1,1,Andhra Pradesh,2544,884916,875243,7129,2450,885037,875456,7131,28
2,3,Arunachal Pradesh,66,16772,16650,56,63,16777,16658,56,12
3,4,Assam,3014,216590,212515,1061,2992,216635,212579,1064,18
4,5,Bihar,4178,255700,250088,1434,4054,255932,250439,1439,10
5,6,Chandigarh,241,20295,19727,327,259,20342,19756,327,04
6,7,Chhattisgarh,8967,289231,276774,3490,8550,290084,278029,3505,22
7,8,Dadra and Nagar Haveli and Daman and Diu,2,3380,3376,2,4,3382,3376,2,26
8,10,Delhi,3468,630200,616054,10678,3354,630506,616461,10691,07
9,11,Goa,832,51856,50277,747,799,51891,50343,749,30
10,12,Gujarat,7829,251944,239771,4344,7695,252559,240517,4347,24
11,13,Haryana,2510,264955,259495,2950,2547,265199,259696,2956,06
12,14,Himachal Pradesh,971,56452,54522,959,874,56521,54686,961,02
13,15,Jammu and Kashmir,2011,122538,118617,1910,1768,122651,118972,1911,01
14,16,Jharkhand,1468,116817,114302,1047,1382,116961,114531,1048,20
15,17,Karnataka,9668,927559,905751,12140,9363,928055,906548,12144,29
16,18,Kerala,64379,811148,743467,3302,63547,814258,747389,3322,32
17,19,Ladakh,197,9618,9294,127,183,9621,9311,127,37
18,20,Lakshadweep,0,0,0,0,0,0,0,0,31
19,21,Madhya Pradesh,7823,248597,237063,3711,7651,249082,237713,3718,23
20,22,Maharashtra,55351,1969114,1863702,50061,53463,1971552,1867988,50101,27
21,23,Manipur,490,28660,27805,365,477,28693,27851,365,14
22,24,Meghalaya,155,13611,13313,143,151,13631,13337,143,17
23,25,Mizoram,92,4293,4192,9,96,4299,4194,9,15
24,26,Nagaland,116,11978,11778,84,108,11987,11795,84,13
25,27,Odisha,1928,331862,328043,1891,1943,332106,328271,1892,21
26,28,Puducherry,316,38455,37501,638,304,38477,37535,638,34
27,29,Punjab,2933,169033,160655,5445,2858,169225,160920,5447,03
28,30,Rajasthan,6726,312996,303536,2734,6585,313425,304104,2736,08
29,31,Sikkim,351,5988,5508,129,322,5989,5538,129,11
30,32,Tamil Nadu,7164,826261,806875,12222,6971,826943,807744,12228,33
31,34,Telengana,4518,290008,283924,1566,4524,290309,284217,1568,36
32,33,Tripura,50,33307,32869,388,49,33309,32872,388,16
33,35,Uttarakhand,3130,93621,88918,1573,2753,93777,89446,1578,05
34,36,Uttar Pradesh,11134,593171,573542,8495,10864,593680,574312,8504,09
35,37,West Bengal,7881,560709,542887,9941,7538,561321,543826,9957,19
36,11111,,222526,10466595,10092909,151160,216558,10479179,10111294,151327,
